1,Stamp duty holiday helps drive up UK property prices Gap between supply and demand for homes at widest level since 2013 says RicsUK property prices are set to continue to rise after the gap between demand for homes and supply grew to its widest level since 2013 surveyors have reported The latest monthly snaps  UK property prices are set to continue to rise after the gap between demand for homes and supply grew to its widest level since 2013 surveyors have reported r nThe latest monthly snapshot of the mark 2979 chars ,,,negative
2,The Latest Moscow orders mandatory vaccine jabs for many Delta Optimist  ol li The Latest Moscow orders mandatory vaccine jabs for many Delta Optimist r n li li Experts divided on easing COVID 19 rules for fully vaccinated adults Canada News Castanet net r n li li Covid 19 Extension to England lockdown debated by MPs BBC  TOKYO Japan is expected to ease a coronavirus state of emergency in Tokyo and most other areas this weekend with the Olympics starting in just over a month r nDaily cases have since significantly de 13119 chars ,emergency,ease easing,positive
3, Workers are potentially at risk B C businesses asked to consider heat wave closures CTV News Vancouver  ol li Workers are potentially at risk B C businesses asked to consider heat wave closures CTV News Vancouver r n li li Employers of outside workers being warned their staff is at risk of heat stroke Business in Vancouver r n li li Two days in a row BC  VANCOUVER r nThe heat wave shattering temperature records across much of British Columbia has prompted concerns about the potential for weather related injuries in some workplaces r nOn Monday after 2025 chars ,warned concerns risk,,negative
4,Does this byelection point to a strategy that can defeat Johnson Don t count on it Jonathan Freedland Talk of a progressive alliance chasing the votes of the educated middle class misses something you can t win with them aloneWalls keep tumbling down first red and now blue The scale of the Lib Dems upset victory in Chesham and Amersham suggests an intri  Walls keep tumbling down first red and now blue The scale of the Lib Dems upset victory in Chesham and Amersham suggests an intriguing possibility that the realignment that saw traditionally Labou 6833 chars ,upset misses,intriguing defeat win victory educated progressive,negative
5,This Week in Apps iOS 15 public beta arrives Android App Bundles to replace APKs app consumer spend hits new record Yahoo Movies Canada  ol li This Week in Apps iOS 15 public beta arrives Android App Bundles to replace APKs app consumer spend hits new record Yahoo Movies Canada r n li li These Nine Android Apps May Have Stolen Your Facebook Login Information Gizmodo r n li li Windows 11  Welcome back to This Week in Apps the weekly TechCrunch series that recaps the latest in mobile OS news mobile applications and the overall app economy r nThe app industry continues to grow with a 23603 chars ,,,negative
6,Montreal s pandemic weary sports bars see relief with home team in Stanley Cup finals Reuters Downtown Montreal bars reeling from the loss of summer festivals and months of lockdowns due to the COVID 19 pandemic are seeing a windfall as the hockey mad city prepares to cheer on its beloved Canadiens on Friday in their first game on home ice of the Stan  MONTREAL July 2 Reuters Downtown Montreal bars reeling from the loss of summer festivals and months of lockdowns due to the COVID 19 pandemic are seeing a windfall as the hockey mad city prepare 3223 chars ,loss mad weary,windfall relief beloved cheer,positive
7,Toronto police to announce its largest drug seizure ever CTV Toronto  ol li Toronto police to announce its largest drug seizure ever CTV Toronto r n li li Toronto police reveal details of their largest ever international drug bust CBC ca r n li li 61M in drugs seized by Toronto Police in service s largest ever bust 680 Ne  TORONTO r nTwenty people are facing rafts of charges each and more than 61 million worth of cocaine crystal meth and marijuana was seized in what Toronto police are calling the largest drug seizu 2745 chars ,bust,worth,neutral
8, 61M in drugs seized 20 arrested by Toronto Police in large international bust CityNews Toronto  ol li 61M in drugs seized 20 arrested by Toronto Police in large international bust CityNews Toronto r n li li Toronto police reveal details of their largest ever international drug bust CBC ca r n li li Toronto police announce biggest drug bust in the  Toronto Police Service have revealed the details of the largest drug takedown in the service s history r nPolice Chief James Ramer announced the results of Project Brisa on Tuesday morning The proj 2450 chars ,bust,,neutral
9,Toronto teacher who led fatal school canoe trip testifies at negligence trial CTV Toronto A Toronto teacher who led a school canoe trip during which a teenage student drowned told his trial Monday that he didn t follow certain safety guidelines established for such trips because they didn t reflect industry standards and would have prevented some  TORONTO r nA Toronto teacher who led a school canoe trip during which a teenage student drowned told his trial Monday that he didn t follow certain safety guidelines established for such trips beca 3208 chars ,negligence fatal,led,negative
10,Homicide unit investigating after teenager shot and killed in Toronto CTV Toronto  ol li Homicide unit investigating after teenager shot and killed in Toronto CTV Toronto r n li li Person dies following shooting near Kennedy Road and the 401 CityNews Toronto r n li li Teen gunned down in Scarborough Toronto Sun r n li li Teenager dies  TORONTO r nToronto homicide detectives are investigating after a teenager was fatally shot in Scarborough Saturday evening r nJust after 6 00 p m police received multiple calls about gunshots hear 1727 chars ,fatally dies killed,,neutral
